,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
624,Alex Verdugo,Arizona St.,25,6-1,200,L/L,"Tucson, AZ",Rd 2 by Dodgers (2014),Dodgers (2017),Chi Town Cream,Outstanding bat with good power potential and low 90's on the mound with a good breaking ball. Outstanding at PG WS and Area Codes,2014,Arizona St.,28.0
625,Forrest Wall,North Carolina,26,6-0,170,L/R,"Winter Park, FL",Rd 1 Comp by Rockies (2014),None,FTB Chandler,Hit very well at ECP and very impressive at WWBA World Championship,2014,North Carolina,457.0
626,Derek Hill,Oregon,27,6-2,170,R/R,"Sacramento, CA",Rd 1 by Tigers (2014),Tigers (2020),NorCal,"Outstanding at PG National. 6.4 runner, made highlight plays in the OF and hit very well! He does it all. PG AA",2014,Oregon,529.0
627,Cameron Varga,North Carolina,28,6-3,205,R/R,"Loveland, OH",Rd 2 by Rays (2014),None,Midland Redskins,Sat 93-95 mph at PG National. PG AA,2014,North Carolina,457.0
628,Cobi Johnson,Florida St.,29,6-4,180,R/R,"Holiday, FL",Rd 29 by Angels (2017),None,FTB Mizuno,"Really interesting RHP, Low 90's at WWBA with more in arm. Plus CB really stood out at PG AA and WWBA",2014,Florida St.,234.0
629,Dylan Cease,Vanderbilt,30,6-2,180,R/R,"Milton, GA",Rd 6 by Cubs (2014),White Sox (2019),Team Elite,Lightning fast arm! Fastball up to 97 mph at PG National. 96 mph at PG AA,2014,Vanderbilt,736.0
630,Mitch Keller,North Carolina,31,6-3,200,R/R,"Cedar Rapids, IA",Rd 2 by Pirates (2014),Pirates (2019),HS team,Made a huge jump this spring and standing out in PG Spring League! Up to 95 mph at Spring Top. Good breaking ball potential,2014,North Carolina,457.0
631,Jack Flaherty,North Carolina,32,6-4,205,R/R,"Burbank, CA",Rd 1 by Cardinals (2014),Cardinals (2017),SGV Arsenal,"Big bat to watch, ball comes off barrel very well. Showed big power potential and ran a 6.37 at PG National. Good at PG AA",2014,North Carolina,457.0
632,Garrett Fulenchek,DBU,33,6-3,205,R/R,"Howe, TX",Rd 2 by Braves (2014),None,None,FB up to 94 mph at WWBA WC and has shown very good breaking ball,2014,DBU,1045.0
633,Zach Shannon,Ohio St.,34,6-3,220,R/R,"Cincinnati, OH",Rd 15 by Diamondbacks (2018),None,Midland Redskins,"Ball jumps off bat, Big power potential. Also up to 94 mph on the mound with a good breaking ball. Showed outstanding CH to end PG AA Game",2014,Ohio St.,518.0
634,Keith Weisenberg,Stanford,35,6-4,195,R/R,"Seminole, FL",Rd 14 by Braves (2017),None,Marucci Elite,Projectable RHP keeps getting better each time out. Up to 92 at PG National. Extremely high ceiling. 95 mph at WWBA WC,2014,Stanford,674.0
