,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
904,Jared Kelley,Texas,5,6-2,200,R/R,"Refugio, TX",Rd 2 by White Sox (2020),None,None,Up to 99 and dominant at PG All American. FB up to 98 mph at PG National and showed an outstanding breaking ball to go with it. ,2020,Texas,703.0
905,Mick Abel,Oregon St.,6,6-5,198,R/R,"Cedar Mill, OR",Rd 1 by Phillies (2020),None,Gunderson Baseball,Got the start for the West at PG All American. Absolutely electric at PG National running his FB up to 97 mph with minimal effort and still projects for more. Showed a plus slider at 86 mph as well. PG Select 14u Alum ,2020,Oregon St.,528.0
906,Ed Howard,Oklahoma,7,6-2,185,R/R,"Lynwood, IL",Rd 1 by Cubs (2020),None,Chicago White Sox ACE 2020,Showed big potential with bat at WWBA and followed up with outstanding showing at PG National. Sky is the limit for him. ,2020,Oklahoma,522.0
907,Robert Hassell III,Vanderbilt,8,6-2,190,L/L,"Franklin, TN",Rd 1 by Padres (2020),None,Middle Tennessee Outlaws,BIg time LH bat that really projects. Very good at PG National ,2020,Vanderbilt,736.0
908,Chase Davis,Arizona,9,6-1,211,L/L,"Elk Grove, CA",None,None,MLB Breakthrough Series,Showed big tools at PG National including throwing 99 from OF and has serious thunder in his bat. Absolutely mashed at WWBA Underclass. Big potential with bat and very impressive in Jupiter ,2020,Arizona,29.0
909,Alex Santos,Maryland,10,6-4,204,R/R,"Bronx, NY",Rd 2 Comp by Astros (2020),None,Team Citius,Outstanding at PG All American. Up to 95 with a hammer. Up to 93 mph and very good at PG National ,2020,Maryland,392.0
910,Masyn Winn,Arkansas,11,5-11,180,R/R,"Kingwood, TX",Rd 2 by Cardinals (2020),None,Sticks Baseball,Incredible performance in Jupiter 94-98 mph with a hammer and hit a HR in the same game. Outstanding at WWBA both on the mound and with bat. Real fun to watch play. 98 across infield at PG Junior National ,2020,Arkansas,31.0
911,Nick Bitsko,Virginia,12,6-4,220,R/R,"Doylestown, PA",Rd 1 by Rays (2020),None,East Coast Sox,None,2020,Virginia,746.0
912,Dylan Crews,LSU,13,6-0,195,R/R,"Longwood, FL",None,None,Scorpions 2019 Founders Club,Can really swing the bat. Bat really stood out at PG National and PG Underclass All American Games. Just always hits no matter where he is at. Outstanding at National Underclass Main Event ,2020,LSU,365.0
913,Tyler Soderstrom,UCLA,14,6-2,190,L/R,"Turlock, CA",Rd 1 by Athletics (2020),None,Norcal,Elite LHH bat that really stood out at PG National ,2020,UCLA,110.0
914,Pete Crow-Armstrong,Vanderbilt,15,6-1,175,L/L,"Sherman Oaks, CA",Rd 1 by Mets (2020),None,Pacific Baseball Academy,Really fun to watch play. Very good in the OF and big potential with the bat. Very good at PG National ,2020,Vanderbilt,736.0
915,Mario Zabala,FIU,16,6-2,195,R/R,"San Juan, PR",None,None,Ibahs Knights,Big all around tools that really stood out at PG National. Outstanding at PG World where he ran a 6.28 60 yard dash.  Very good at PG Underclass AA Games. Outstanding in Jupiter,2020,FIU,231.0
916,Carson Montgomery,Florida St.,17,6-2,208,R/R,"Windermere, FL",None,None,Power Baseball,"Up to 94 mph at Junior National with very good slider, Up to 96 mph at WWBA. Mid 90s and pitched well at PG National ",2020,Florida St.,234.0
917,Daxton Fulton,Oklahoma,18,6-6,220,L/L,"Oklahoma City, OK",Rd 2 by Marlins (2020),None,MVP-Seng,Lights out performance at PG National and followed that up by striking out the side at PG All American Game. Up to 93 mph and can really pitch. ,2020,Oklahoma,522.0
918,Coby Mayo,Florida,19,6-4,215,R/R,"Coral Springs, FL",Rd 4 by Orioles (2020),None,Elite Squad National,Big power in his bat and it plays in games. Very good showing at PG National ,2020,Florida,235.0
919,Jared Jones,Texas,20,6-2,175,R/R,"Whittier, CA",Rd 2 by Pirates (2020),None,BPA,Up to 96 mph at PG National and also threw 100 mph from the OF,2020,Texas,703.0
920,Kyle Harrison,UCLA,21,6-2,200,R/L,"Danville, CA",Rd 3 by Giants (2020),None,Danville Hoots,Electric performance at PG National running his FB up to 93 mph in two dominant innings. ,2020,UCLA,110.0
921,Drew Romo,LSU,22,6-1,210,S/R,"The Woodlands, TX",Rd 1 Comp by Rockies (2020),None,Banditos Scout Team,Elite defensive skills and has the hitting tools to go with it. Very good a PG National and at PG Junior National in 2018,2020,LSU,365.0
922,Slade Wilks,Southern Miss.,23,6-2,215,L/R,"Columbia, MS",None,None,EC Sox,Big power at PG Underclass All American Games including a game HR. Very good at PG National ,2020,Southern Miss.,664.0
923,Alejandro Rosario,Miami (FL),24,6-1,165,R/R,"Miami, FL",None,None,Elite Squad,New to 2020 class and showed mid to better 90s this HS season,2020,Miami (FL),415.0
924,Cayden Wallace,Arkansas,25,6-1,205,R/R,"Greenbrier, AR",None,None,Arkansas Prospects Menard,Big power potential in his bat. Very good at PG National. Also big prospect on the mound up to 91 at Junior National. Ran a 6.69 60. Mashed at WWBA with multiple 100+ exit velos ,2020,Arkansas,31.0
925,Ryan Hagenow,Kentucky,26,6-5,208,R/R,"Knoxville, TN",None,None,eXposure Baseball,6 up 6 down at PG National striking out all 6 batters. FB up to 92 and really projects. ,2020,Kentucky,334.0
926,Cade Horton,Oklahoma,27,6-2,190,R/R,"Norman, OK",None,None,MVP-Seng,Interesting two way prospect at PG National. Looked great in the IF with plenty of juice in his bat and up to 95 mph on the mound. ,2020,Oklahoma,522.0
927,Ty Floyd,LSU,28,6-2,190,R/R,"Rockmart, GA",None,None,643 DP Cougars/Pralgo,Up to 95 mph and misses barrels ,2020,LSU,365.0
928,Carter Baumler,TCU,29,6-2,195,R/R,"Grimes, IA",Rd 5 by Orioles (2020),None,HS Team,Dominant performance at PG National running his fastball up to 93 mph with a dominant breaking ball ,2020,TCU,698.0
929,Kevin Parada,Georgia Tech,30,6-0,192,R/R,"Pasadena, CA",None,None,GBG Marucci Navy 2020,Outstanding in Jupiter and PG National. Always hits ,2020,Georgia Tech,255.0
930,Brandon Fields,South Carolina,31,6-0,200,R/R,"Orlando, FL",None,None,FTB Scout Team,Bat showed big potential at PG National. Has impressed at many WWBA and BCS Tournaments,2020,South Carolina,648.0
931,Yohandy Morales,Miami (FL),32,6-4,195,R/R,"Miami, FL",None,None,MVP Banditos,Big potential with bat. Very good both in Fort Myers and Jupiter this fall,2020,Miami (FL),415.0
932,Jace Bohrofen,Oklahoma,33,6-2,195,L/R,"Oklahoma City, OK",None,None,MVP-Seng,Always hits. Big performance at PG National ,2020,Oklahoma,522.0
933,Victor Mederos,Miami (FL),34,6-3,210,R/R,"Miami, FL",None,None,MVP Banditos,Outstanding at PG Junior National. Easy low 90s up to 94 and can pitch. Huge ceiling. Up to 90 at PG Select 14u and projects very well. ,2020,Miami (FL),415.0
934,Jack Bulger,Vanderbilt,35,6-0,205,R/R,"Bowie, MD",None,None,Team Elite Prime,Big power potential in his bat. Ball is loud off his barrel ,2020,Vanderbilt,736.0
935,Jake DeLeo,Georgia Tech,36,6-2,200,R/R,"Norwalk, CT",None,None,Dirtbags Skrap Pak,Showed big tools at PG National ,2020,Georgia Tech,255.0
936,Ryan Bruno,Stanford,37,6-3,200,L/L,"Wellington, FL",None,None,East Coast Sox,Up to 94 mph at PG National and 96 at PG All American and WWBA,2020,Stanford,674.0
937,Maxwell Carlson,North Carolina,38,6-1,175,R/R,"Savage, MN",None,None,Minnesota Blizzard,Low 90s RHP and was very good at PG National. Absolutely dominated in 2019,2020,North Carolina,457.0
938,Drew Bowser,Stanford,39,6-3,205,R/R,"Encino, CA",None,None,Pacific Baseball Academy,"Took home all the hardware at PG All American Game. MVP, HR Challenge Champion and raised the most money for Rady Children's hospital. Bat really projects",2020,Stanford,674.0
939,Ben Hernandez,UIC,40,6-2,205,R/R,"Chicago, IL",Rd 2 by Royals (2020),None,Top Tier American,Up to 93 mph at PG National and can really pitch ,2020,UIC,302.0
940,Michael Brown,Washington,41,6-5,230,L/L,"Vacaville, CA",None,None,Show California,Showed huge power at PG Underclass AA Games in BP and then hit a long HR in Games in 2018 and followed that up with a no doubt bomb at 2019 PG National. Elite power that plays in games ,2020,Washington,756.0
941,AJ Vukovich,Louisville,42,6-5,210,R/R,"Mukwonago, WI",Rd 4 by Diamondbacks (2020),None,Hitters 2020,Big power in his bat and it plays in games. Very good at PG National ,2020,Louisville,367.0
942,Isaiah Greene,Missouri,43,6-1,180,L/L,"Eastvale, CA",Rd 2 Comp by Mets (2020),None,PFA- CAV,None,2020,Missouri,434.0
943,Nate Wohlgemuth,Arkansas,44,5-11,195,R/R,"Owasso, OK",None,None,Oklahoma Fuel,"97 mph at WWBA and dominant, Up to 93 mph at PG Junior National. Big time arm already low 90's on the mound and threw 97 mph from OF at Midwest Top. No hitter in Jupiter ",2020,Arkansas,31.0
944,Milan Tolentino,UCLA,45,6-1,180,L/R,"Mission Viejo, CA",Rd 4 by Indians (2020),None,Saddleback Cowboys,Easy actions in the infield and big potential with the bat. Very good at PG National,2020,UCLA,110.0
945,Ethan Long,Arizona St.,46,6-2,215,R/R,"Gilbert, AZ",None,None,Team Elite Prime 16u,"Has been up to 97 on the mound, 97 from OF, 96 across the IF and big juice in his bat",2020,Arizona St.,28.0
946,Kemp Alderman,Ole Miss,47,6-4,240,R/R,"Decatur, MS",None,None,Yalobusha Giants,Big juice in his bat,2020,Ole Miss,433.0
947,Justin Lange,DBU,48,6-4,190,R/R,"Llano, TX",Rd 1 Comp by Padres (2020),None,GPS Texas 17U Puffer,None,2020,DBU,1045.0
948,Jackson Miller,Wake Forest,49,6-1,210,L/R,"Trinity, FL",Rd 2 Comp by Reds (2020),None,Top Tier Roos Baseball,Really swings the bat well. ,2020,Wake Forest,749.0
949,Cam Brown,TCU,50,6-3,200,R/R,"Flower Mound, TX",None,None,DBAT Elite-Tompkins,Very interesting RHP who projects well. Mid 90s with very good breaking ball ,2020,TCU,698.0
950,Brady House,Tennessee,1,6-3,210,R/R,"Winder, GA",Rd 1 by Nationals (2021),None,Team Elite Prime,"Physically impressive with smooth actions & a good arm across; strong RH swing & can hit for average & power. Up to 96 mph on the bump, too. Exceptional at the PGHS Showdown showing power, speed and a refined defensive approach.",2021,Tennessee,694.0
951,Marcelo Mayer,Southern California,2,6-3,190,L/R,"Chula Vista, CA",Rd 1 by Red Sox (2021),None,San Diego Show,Smooth lefthanded stroke with fluidity through zone; sound actions up the middle; lots of projection and one to follow closely,2021,Southern California,657.0
952,Jordan Lawlar,Vanderbilt,3,6-2,185,R/R,"Irving, TX",Rd 1 by Diamondbacks (2021),None,Dallas Tigers,"High level athlete up the middle; above average run tool; short, repeatable RH swing with lots of barrel and jump coming off; stood out at 16u WWBA. A PG National standout with excellent defensive actions and the body and swing that project big, but already showing in game production.",2021,Vanderbilt,736.0
953,Jackson Jobe,Ole Miss,4,6-2,190,R/R,"Oklahoma City, OK",Rd 1 by Tigers (2021),None,Thrive Baseball,Excellent over athlete and put up great overall numbers at the PG National. Ran his fastball up to 96 and his slider has an exceptionally high spin rate. ,2021,Ole Miss,433.0
954,Kahlil Watson,NC State,5,5-11,168,L/R,"Wake Forest, NC",Rd 1 by Marlins (2021),None,Dirtbags Haynes,"Explosive tools across the board; continued ascent throughout summer & into fall; fast hands offensively, present juice w/ excellent barrel skills; stands out defensively, big arm across. ",2021,NC State,490.0
955,James Wood,Mississippi St.,6,6-6,240,L/R,"Olney, MD",Rd 2 by Padres (2021),None,Dirtbags 2021,"Ultra-projectable 6-6 frame; easy power with big jump and backspin to all fields; moves well & shows a strong arm. Easy to see the power potential at the PG National, the overall skill set continues to trend upward in a big way. ",2021,Mississippi St.,430.0
956,Joshua Baez,Vanderbilt,7,6-3,220,R/R,"Boston, MA",Rd 2 by Cardinals (2021),None,Beast Mode Prime 2021,"Physical build with standout tools; big present power & more to come; big performance at WWBA Underclass with the bat; up to 92 mph as well. The Elite tools were on displays at the PG National and pretty polished in the box too. Big raw velocity on the mound, as well, peaking at 96. ",2021,Vanderbilt,736.0
957,Benny Montgomery,Virginia,8,6-4,200,R/R,"Lewisberry, PA",Rd 1 by Rockies (2021),None,Team Elite,"Put on an absolute show at National Underclass Main Event establishing himself as one of the top prospects in the class. 6.42 60, 97 from OF, 103 mph exit velo, 84.80 Max Barrel Speed and absolutely mashed in games including a no doubt HR. The loudest overall set of tools at the PG National. Very few have the type of power/speed combo he possesses. ",2021,Virginia,746.0
958,Chase Petty,Florida,9,6-1,185,R/R,"Somers Point, NJ",Rd 1 by Twins (2021),None,BPC Oilers,"Up to 94 at PG Underclass All American Games; electric arm speed from tough slot, generates big life to FB; slider bites hard & late in low-80s. Up to 97 at the PG National and 98 a the PG Elite. He may have the best arm speed in the class. Very good athlete too. ",2021,Florida,235.0
959,Andrew Painter,Florida,10,6-7,230,R/R,"Pompano Beach, FL",Rd 1 by Phillies (2021),None,Elite Squad 17u National,"Up to 94 mph at PG Junior National, controls delivery well & fills the zone; fastball jumps and more to come, feel for CB & SL. Up to 96 at the PG National with a 4-pitch mix and still has projection to go along with his current polish.",2021,Florida,235.0
960,Harry Ford,Georgia Tech,11,5-10,200,R/R,"Kennesaw, GA",Rd 1 by Mariners (2021),None,East Cobb Astros,"Good athlete with big arm strength behind the plate; fast-twitch, ran a 6.50 at PG National with 85 mph down to second, big raw strength too",2021,Georgia Tech,255.0
961,Alex Mooney,Duke,12,6-1,175,R/R,"Rochester Hills, MI",None,None,Canes National 17u,"Bat really projects & solid skills up the middle; impressed at Great Lakes Indoor, 6.8 speed & highly intriguing tools that played all summer. The PG National proved the massive overall toolset. Fluid, graceful and loads of upside remain even though he is already a consistent performer. ",2021,Duke,193.0
962,Bubba Chandler,Clemson,13,6-3,201,S/R,"Bogart, GA",Rd 3 by Pirates (2021),None,East Cobb Yankees,Easy upper 80s and can really pitch ,2021,Clemson,147.0
963,Ian Moller,LSU,14,6-1,207,R/R,"Dubuque, IA",Rd 4 by Rangers (2021),None,MLB Breakthrough Series,Advanced catch & throws skills and talented receiver; physical build with home run power right now; handles the barrel well; loud fall season. One of the best position workouts at the PG National and loud contact during games to follow. Elite in drills and games.,2021,LSU,365.0
964,Joe Mack,Clemson,15,6-1,203,L/R,"Williamsville, NY",Rd 1 Comp by Marlins (2021),None,East Cobb Astros 17U,Big LH bat to follow closely; impressed with bat speed and juice at Underclass & Jupiter; good athlete with big arm strength behind dish. Continues to hit at every stop and the PG National just added to his offensive resume. ,2021,Clemson,147.0
965,Daylen Lile,Louisville,16,6-0,195,L/R,"Louisville, KY",Rd 2 by Nationals (2021),None,17U Canes National,"Natural feel for the barrel from the left side; strength continues to come in every look; top of order type tools; MVP of Spring Kickoff, 6.80 at PG National",2021,Louisville,367.0
966,Chase Burns,Tennessee,17,6-4,215,R/R,"Gallatin, TN",Rd 20 by Padres (2021),None,Cane's National 17u,"Up to 92 mph at 17u WWBA, big downhill angle with natural cut; late biting curveball in low-80s. Up to 99 at the PG National with feel for 4-pitches and a clean operation. Absolutely firm present stuff.",2021,Tennessee,694.0
967,Tommy White,NC State,18,6-1,220,R/R,"St. Pete Beach, FL",None,None,Florida Burn Platinum 2021,"Huge power to all fields as shown at the Underclass AA Games, plays a high level third base.  True middle of the order potential shown in Jupiter. Showed massive power at the PG National, with good recognition skills and an accurate barrel. ",2021,NC State,490.0
968,Shane Panzini,Virginia,19,6-3,220,R/R,"Spring Lake, NJ",Rd 4 by Royals (2021),None,9ers,Very good at the PG Underclass All American Games.  Exceptional outing at the Underclass World Championship and up to 93 in Jupiter.  Big promise here. Up to 95 at the PG National with a 4-pitch mix and matching release. Low effort and makings real command. ,2021,Virginia,746.0
969,Jay Allen,Florida,20,6-3,190,R/R,"Fort Pierce, FL",Rd 1 Comp by Reds (2021),None,FTB San Francisco Giants scout,Super Athletic with a CF profile.  Huge potential with the bat and the power is starting to show up.  Big time 2-sport prospect. Really athletic actions at the PG National with middle of the field and middle of the lineup potential.  ,2021,Florida,235.0
970,Wes Kath,Arizona St.,21,6-3,200,L/R,"Scottsdale, AZ",Rd 2 by White Sox (2021),None,Arizona Sandlot,"Loose left-handed stroke with present barrel skills, still shows room to project more power as he continues to fill out his large lean build with the ability to continue to impact the ball at a high rate.",2021,Arizona St.,28.0
971,Will Taylor,Clemson,22,6-0,175,R/R,"Irmo, SC",Rd 19 by Rangers (2021),None,Diamond Devils 17U,"High end athlete with the ability to change the game using his speed, showed well at the plate all summer with some jump off the barrel to all fields.",2021,Clemson,147.0
972,Braden Montgomery,Stanford,23,6-2,201,S/R,"Madison, MS",None,None,East Coast Sox,"Big time two-way ability; switch-hitter with repeatable stroke & handle for barrel; smooth & effortless mechanics on mound, up to 91 mph. 97 mph from OF at National Underclass West. Elite defensive workout at the PG National with the left-handed swing looking clean. Up to 93 on the mound too.  ",2021,Stanford,674.0
973,Carter Holton,Vanderbilt,24,5-11,195,L/L,"Guyton, GA",Rd 19 by Brewers (2021),None,Team Elite American,Up to 94 and absolutely dominant in 2019. 3 swing and miss pitches that he commands well; touched 96 early in summer of 2020,2021,Vanderbilt,736.0
974,Josh Hartle,Wake Forest,25,6-5,195,L/L,"King, NC",None,None,Team Elite,"MVPitcher at WWBA Freshmen World Championship; extremely projectable; pounds zone with big angle & clean arm. Also can really hit. Can just really pitch and that was on display at the PG National, easy innings and 3-pitch tunneling ability.  ",2021,Wake Forest,749.0
975,Malakhi Knight,UCLA,26,6-3,187,R/R,"Marysville, WA",None,None,Rijo Showcase,Really good athlete with huge projection on both sides of the ball.  Big helium late in the summer. The massive athleticism was on display at the PG National. Lock down centerfield profile with developing power in the bat.  ,2021,UCLA,110.0
976,Ben Kudrna,LSU,27,6-3,195,R/R,"Overland Park, KS",Rd 2 by Royals (2021),None,Building Champions,Showed plus arm speed at WWBA while running the FB up to 94 mph finishing off a strong 2020 showing.,2021,LSU,365.0
977,Anthony Solometo,North Carolina,28,6-5,215,L/L,"Sicklerville, NJ",Rd 2 by Pirates (2021),None,Zoom Baseball Academy,Up to 91 mph this summer from the left side; very uncomfortable at-bat and fills the zone; comfort landing slider for strikes,2021,North Carolina,457.0
978,Irving Carter,Miami (FL),29,6-4,200,R/R,"Boynton Beach, FL",Rd 5 by Blue Jays (2021),None,Elite Squad National  17U,"Advanced pitchability and feel on the bump; fastball up to 93 mph; late diving CH and solid CB keep hitters off balance, competes",2021,Miami (FL),415.0
979,Brody Brecht,Iowa,30,6-4,185,R/R,"Ankeny, IA",None,None,Ankeny Warhawks,None,2021,Iowa,312.0
980,Rene Lastres,Florida,31,6-3,205,R/R,"Hialeah Gardens, FL",None,None,Canes National,"Outstanding defensive catcher, high level catch & throw skills, extremely polished skills at PG National; strong build with big power in his bat, loose & extended stroke",2021,Florida,235.0
981,Max Debiec,Washington,32,6-7,202,R/R,"Seattle, WA",None,None,Walla Walla Sweets,"Enormous upside in the body and ran his fastball up to 97 at the PG National. Very good athleticism and confidence in his 4-pitch mix. Has bat to balls skills offensively, as well.",2021,Washington,756.0
982,Jac Caglianone,Florida,33,6-5,210,L/L,"Tampa, FL",None,None,FTB SF Giants Scout Team,"Huge projection in the left-handed bat and showed in game power at the WWBA, Underclass, and Jupiter.  Up to 90 mph on the bump as well. Power bat/Power arm on display at the PG National. Very good offensively and swing and miss on the hill at the PG Elite. up to 94 now. ",2021,Florida,235.0
983,Edwin Arroyo,Florida St.,34,6-0,175,S/B,"Arecibo, PR",Rd 2 by Mariners (2021),None,FTB SF Giant Scout Team,"Really stood out all summer in all facets; fast-twitch athlete & fluid defender, excellent offensive tools from both sides. Big overall tools shown at the PG National. Great actions at shortstop and obvious switch-hitting ability. ",2021,Florida St.,234.0
984,Izaac Pacheco,Texas A&M,35,6-4,220,L/R,"Friendswood, TX",Rd 2 by Tigers (2021),None,Team Elite,"Strong lefthanded bat with big power to pull side and bat speed; smooth defensive actions with athleticism; big power at 16u WWBA & stood out in Jupiter. Showed his normal power potential at the PG National, the body and defense continue to improve rapidly. Highest level run producing profile.",2021,Texas A&M,697.0
985,Thatcher Hurd,UCLA,36,6-4,205,R/R,"Manhattan Beach, CA",None,None,None,"The body, athleticism and arm action give him all the ingredients to be a big riser. Low-90s on the bump and real feel for his off speed. Jumped on the scene at the PG National.   ",2021,UCLA,110.0
986,Jackson Baumeister,Florida St.,37,6-3,215,R/R,"Jacksonville, FL",None,None,5 Star National,"Shows big two-way potential; athletic defender with strong arm behind the plate; lows 90s on mound with more in tank, feel for spin; clean mechanics",2021,Florida St.,234.0
987,Camden Hayslip,Alabama,38,6-3,205,L/L,"Lebanon, TN",None,None,Rawling Southeast MAD Mavericks,The body and swing project huge for a hit plus power profile. Simply a loud PG National showcase in all phases. ,2021,Alabama,8.0
988,Colson Montgomery,Indiana,39,6-4,190,L/R,"Holland, IN",Rd 1 by White Sox (2021),None,Nashville Knights,"Long & athletic frame, moves well on feet & controls body, quick transfer/release; intriguing LH power, fluid path w/ jump off the barrel",2021,Indiana,306.0
989,Brock Selvidge,LSU,40,6-3,205,R/L,"Chandler, AZ",Rd 3 by Yankees (2021),None,CBA Marucci National,Fastball up to 90 mph and projects very well; big velocity jump last season & will only continue to gain. Outstanding at WWBA and PG Underclass AA Games. Big time stuff at the Perfect Game National with his fastball bumping 94 and a swing a miss type slider. Great 3-pitch mix.,2021,LSU,365.0
990,Casey Saucke II,Virginia,41,6-3,190,R/R,"Rochester, NY",None,None,Diamond Pro/Dirtbags Baseball,"Outstanding two way prospect; moves well on feet defensively, showed power during PG National w/ loose swing; up to 92 mph on the mound too",2021,Virginia,746.0
991,Mason Albright,Virginia Tech,42,6-0,190,L/L,"Thurmont, MD",Rd 12 by Angels (2021),None,Midatlantic Red Sox,"Great body control and unreal deception throughout his outing at the PG National. up to 94 and held velocity and command throughout, SL/CU play well off the FB. ",2021,Virginia Tech,742.0
992,Cody Schrier,UCLA,43,6-1,190,R/R,"San Clemente, CA",None,None,TB Socal,Excellent feel for the game with carrying tools.  Heavy hands at the plate and shows the ability to hit good pitching.  Good performance at the PG Underclass AA Games. Really good overall skillset at the PG National. Dominant performance at PG Elite on both sides of the ball. Longterm shortstop and power potential in the bat.,2021,UCLA,110.0
993,Lonnie White,Penn St.,44,6-3,205,R/R,"Coatesville, PA",Rd 2 Comp by Pirates (2021),None,Canes American 17U,Great athlete with a very high ceiling ,2021,Penn St.,539.0
994,Gage Jump,UCLA,45,5-11,170,L/L,"Aliso, CA",Rd 18 by Padres (2021),None,Canes,"Up to 93 mph and electric in Jupiter.  Very polished lefty with a lightning quick arm and great track record, good feel for secondaries ",2021,UCLA,110.0
995,Maddux Bruns,Mississippi St.,46,6-2,210,L/L,"Saraland, AL",Rd 1 by Dodgers (2021),None,East Coast Sox,"Huge statement at the PG National, running his fastball up to 97 with swing and miss secondary.  One of the highest ceilings in the class. ",2021,Mississippi St.,430.0
996,Peyton Stovall,Arkansas,47,6-0,185,L/R,"Haughton, LA",None,None,5 Star Performance (Moran),None,2021,Arkansas,31.0
997,Maxwell Muncy,Arkansas,48,6-1,170,R/R,"Camarillo, CA",Rd 1 by Athletics (2021),None,PBA,Really impressed at 16u WWBA; high level tools; bat speed stands out & can impact to all fields; versatile and twitchy defender,2021,Arkansas,31.0
998,Noah Miller,Alabama,49,6-0,190,S/R,"Fredonia, WI",Rd 1 Comp by Twins (2021),None,Hitters Baseball U17,"Switch-hitter with big time offensive tools, fluidity to path from both sides w/ present bat speed; very sound defensively, soft hands w/ strong arm",2021,Alabama,8.0
999,Pierce Coppola,Florida,50,6-8,215,L/L,"Verona, NJ",None,None,Orlando Scorpions 2021 Founder's Club,Exceptional potential at the PG National with a loud outing and a swing and miss 3-pitch mix. Even better the next week at the PG Elite when he reached 94. ,2021,Florida,235.0
